Date,Business Group,Business,Value Center,    Processed History
23-Nov,00024782,00026748,00007947,1796366
23-Nov,00024782,00026749,00013147,57099
23-Dec,00009771,00009807,00012831,128487
23-Dec,00009771,00009807,00017529,4354
23-Dec,00009771,00009807,00017530,17872
23-Dec,00009771,00009807,00017534,3946
23-Dec,00013066,00025618,00026812,243293
23-Dec,00013066,00025618,00026813,3623
23-Dec,00021696,00007918,00007119,96620
23-Dec,00021696,00013071,00007960,18869
23-Dec,00021696,00013071,00013349,237841
23-Dec,00024782,00026748,00007947,2346377
24-Jan,00009771,00009807,00012831,171012
24-Jan,00009771,00009807,00017530,10070
24-Jan,00009771,00016982,00017334,34292
24-Jan,00013066,00025618,00026812,230668
24-Jan,00013066,00025618,00026813,4818
24-Jan,00021696,00007918,00007119,223470
24-Jan,00021696,00013071,00007960,24269
24-Jan,00021696,00013071,00013349,167674
24-Jan,00024782,00026748,00007947,5850739
24-Jan,00024782,00026749,00013147,102140
24-Feb,00009771,00009807,00012831,110189
24-Feb,00009771,00009807,00017530,21682
24-Feb,00009771,00016982,00017334,17146
24-Feb,00013066,00025618,00026812,263803
24-Feb,00013066,00025618,00026813,6009
24-Feb,00021696,00007918,00007119,158940
24-Feb,00021696,00013071,00007960,18869
24-Feb,00021696,00013071,00013349,180362
24-Feb,00024782,00026748,00007947,2589263
24-Feb,00024782,00026749,00013147,83143
24-Mar,00009771,00009807,00012831,130262
24-Mar,00009771,00009807,00017529,1542
24-Mar,00009771,00009807,00017530,14832
24-Mar,00009771,00009807,00017534,3946
24-Mar,00009771,00016982,00017334,17146
24-Mar,00013066,00025618,00026812,263166
24-Mar,00013066,00025618,00026813,4820
24-Mar,00013900,00016983,00017444,1134
24-Mar,00021696,00007918,00007119,129180
24-Mar,00021696,00013071,00007960,5400
24-Mar,00021696,00013071,00013349,217800
24-Mar,00024782,00026748,00007947,2123643
24-Apr,00009771,00009807,00012831,189608
24-Apr,00009771,00009807,00017530,31570
24-Apr,00013066,00025618,00026812,244093
24-Apr,00013066,00025618,00026813,4854
24-Apr,00021696,00007918,00007119,141580
24-Apr,00021696,00013071,00007960,14653
24-Apr,00021696,00013071,00013349,162800
24-Apr,00024782,00026748,00007947,725453
